Alloy,No,Component,Fraction,a,delta,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,omega,Phase_inshort
ZrHfTiAlCuNi,6,Zr Hf Ti Al Cu Ni,1 1 1 1 1 1,1.433166667,0.094373785,1.598333333,0.242447016,6,3.214550254,1.14E+11,37.34975044,92.74753994,IM+SS
B6Co2Nb2,3,B Co Nb,6 2 2,1.028,0.253785553,1.92,0.171580885,4.6,2.332380758,2.62E+11,71.10555534,53.02619678,IM
BFe14Nd2,3,B Fe Nd,1 14 2,1.263176471,0.134029966,1.761176471,0.232097402,7.117647059,1.906100205,1.63E+11,59.2373678,171.5420738,IM
NiCoFeCrAl0.375,5,Ni Co Fe Cr Al,1 1 1 1 0.375,1.262628571,0.04117134,1.802,0.109565375,7.8,2.039607805,1.64E+11,28.15374699,349.5889328,SS
NbTiV2Zr,4,Nb Ti V Zr,1 1 2 1,1.4252,0.074805076,1.546,0.112889326,4.6,0.489897949,1.34E+11,37.98391472,2328.191025,SS
Ni46Ti20Zr23Al12,4,Ni Ti Zr Al,46 20 23 12,1.392168317,0.104109703,1.669009901,0.237342986,6.613861386,3.111684454,1.29E+11,48.58295937,49.49056195,AM
B6Mn2Ni21,3,B Mn Ni,6 2 21,1.165034483,0.152913573,1.912068966,0.111490816,8.344827586,2.831788299,2.05E+11,60.72099504,76.96722246,IM
TiZrNbMoV0.25,5,Ti Zr Nb Mo V,1 1 1 1 0.25,1.455529412,0.063163351,1.655882353,0.297856239,4.764705882,0.8065476,1.46E+11,58.66555585,1418.162112,SS
AlCoCrFeNiZr,6,Al Co Cr Fe Ni Zr,1 1 1 1 1 1,1.337,0.102379003,1.703333333,0.19997222,6.666666667,2.560381916,1.39E+11,47.21997544,114.3164577,AM+IM
Cu58.7Zr36.3Al3.5,3,Cu Zr Al,58.7 36.3 3.5,1.403243655,0.110590443,1.679634518,0.272327193,8.136040609,3.482774225,1.12E+11,33.73060193,57.22600201,AM
CoCrCuFeNi,5,Co Cr Cu Fe Ni,1 1 1 1 1,1.253,0.010332037,1.836,0.092217135,8.8,1.720465053,1.66E+11,14.96662955,889.6942601,SS
Al11Sm3,2,Al Sm,11 3,1.513,0.102513676,1.515714286,0.180543397,3,0,67857142857,15.59238433,20.74286605,IM
Cd10Cu3,2,Cd Cu,10 3,1.501076923,0.081397736,1.738461538,0.088478259,11.76923077,0.421325044,64615384615,41.28985434,97.68813864,IM
Ni60Nb20Hf5Ti15,4,Ni Nb Hf Ti,60 20 5 15,1.3316,0.081853106,1.762,0.190934544,7.8,2.712931993,1.64E+11,27.27636339,67.28599978,AM
Al12Mg17,2,Al Mg,12 17,1.531068966,0.054363704,1.434137931,0.147753692,2.413793103,0.492512305,57827586207,15.26788147,324.0970534,IM
AlCe1,2,Al Ce,1 1,1.6285,0.120663187,1.365,0.245,3,0,49000000000,27,18.28148329,IM
Ni57.5Zr28Nb7Al7.5,4,Ni Zr Nb Al,57.5 28 7 7.5,1.37272,0.114180352,1.7034,0.25492242,7.445,2.996160042,1.41E+11,51.27237723,44.46583661,AM
Zr17Ta16Ti19Nb22Si26,5,Zr Ta Ti Nb Si,17 16 19 22 26,1.39325,0.110918364,1.6047,0.195076677,4.38,0.485386444,1.28E+11,45.14828885,75.3562988,AM
Ce65Al12.5Ni12.5Cu10,4,Ce Al Ni Cu,65 12.5 12.5 10,1.6488,0.148668041,1.358,0.33499403,4.675,3.117591218,60300000000,58.39957192,42.64076411,AM
Mg54Cu26.5Ag8.5Gd11,4,Mg Cu Ag Gd,54 26.5 8.5 11,1.524145,0.110196544,1.50695,0.295740084,5.26,4.222842644,74080000000,42.5263871,153.1081373,AM
CoCrFeNiAl1.17,5,Co Cr Fe Ni Al,1 1 1 1 1.17,1.288673114,0.060206608,1.772475822,0.122292978,7.061895551,2.553118222,1.51E+11,41.03274543,203.5996498,SS
CaZn13,2,Ca Zn,1 13,1.4365,0.104163159,1.603571429,0.167400595,11.28571429,2.575393768,66214285714,13.64958697,31.86742016,IM
Bi2CaMg2,3,Bi Ca Mg,2 1 2,1.6076,0.124063092,1.532,0.414217334,3.2,1.469693846,33800000000,10.47664068,32.56744397,IM
AlFe2Ti,3,Al Fe Ti,1 2 1,1.344,0.07704217,1.7025,0.129879752,5.75,2.277608395,1.32E+11,40.33298898,78.54086973,IM
Al2La,2,Al La,2 1,1.581,0.133281354,1.44,0.240416306,3,0,60000000000,22.627417,19.22067595,IM
Mg60Cu29Y10Si,4,Mg Cu Y Si,60 29 10 1,1.52295,0.114128758,1.478,0.277517567,4.73,4.022076578,72700000000,43.37983402,149.3419526,AM
Pd77.5Cu6Si16.5,3,Pd Cu Si,77.5 6 16.5,1.33255,0.062310989,2.1325,0.125274698,9.07,2.266075903,1.64E+11,30.14365605,37.44191417,AM
Al0.5CoCrCuFeNiTi1.8 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.8,1.316794521,0.072086115,1.747534247,0.151989373,7.219178082,2.741095548,1.46E+11,32.9025013,209.0791831,IM+SS
AuSn2,2,Au Sn,1 2,1.560666667,0.053765488,2.153333333,0.273414622,6.333333333,3.299831646,1.12E+11,76.36753237,56.03289916,IM
Cu51Zr14,2,Cu Zr,51 14,1.348,0.09911268,1.777230769,0.234320672,9.492307692,2.877622293,1.25E+11,28.43364884,51.05890006,IM
FeNi2CrCuAl0.6,5,Fe Ni Cr Cu Al,1 2 1 1 0.6,1.271285714,0.044886672,1.817142857,0.115506869,8.357142857,2.510183342,1.56E+11,31.22294747,783.5467376,SS
Gd60Cu20Ni10Al10,4,Gd Cu Ni Al,60 20 10 10,1.604,0.153112181,1.452,0.318929459,5.3,3.522782991,76400000000,52.60266153,57.91785077,AM
B6Hf2Ni21,3,B Hf Ni,6 2 21,1.180758621,0.171260783,1.894827586,0.170083563,8.137931034,3.025456796,2.04E+11,61.72895377,53.5510557,IM
Cu0.75NiCoFeCrAl0.25,6,Cu Ni Co Fe Cr Al,0.75 1 1 1 1 0.25,1.2607,0.032503327,1.8215,0.103163705,8.4,2.059126028,1.63E+11,24.18594633,4238.648478,SS
B2CoNb,3,B Co Nb,2 1 1,1.08,0.247692541,1.89,0.179722008,5,2.449489743,2.48E+11,72.5861557,52.92810599,IM
Cr3Si,2,Cr Si,3 1,1.225,0.033934057,1.72,0.103923048,5.5,0.866025404,1.45E+11,25.98076211,41.6786598,IM
Al13Cr4Si4,3,Al Cr Si,13 4 4,1.344,0.086327848,1.674761905,0.110910476,3.761904762,1.150766283,96571428571,32.10187864,64.07955074,IM
CoCrFeNiAl2,5,Co Cr Fe Ni Al,1 1 1 1 2,1.3085,0.066780149,1.75,0.126622799,6.5,2.753785274,1.40E+11,45.99154512,157.5409158,SS
Zr45.38Ti9.62Cu8.75Ni10Be26.25,5,Zr Ti Cu Ni Be,45.38 9.62 8.75 10 26.25,1.4006108,0.146607984,1.521077,0.211945158,4.6875,2.909440453,1.07E+11,36.89835458,67.23447229,AM
Ni60Nb15Hf5Ti20,4,Ni Nb Hf Ti,60 15 5 20,1.33325,0.083025777,1.759,0.193904616,7.75,2.772634127,1.61E+11,29.64793416,64.62023849,AM
CrMo0.5NbTa0.5TiZr ,6,Cr Mo Nb Ta Ti Zr,1 0.5 1 0.5 1 1,1.4279,0.080423557,1.592,0.219809008,4.9,0.830662386,1.45E+11,50.39951499,859.2532676,IM+SS
Ni60Nb15Hf10Ti15,4,Ni Nb Hf Ti,60 15 10 15,1.33905,0.089571724,1.747,0.213520491,7.75,2.772634127,1.61E+11,29.64793416,66.60260265,AM
Ti50Cu20Ni24Si4B2,5,Ti Cu Ni Si B,50 20 24 4 2,1.34816,0.096916084,1.7252,0.186174542,6.82,3.241542843,1.37E+11,39.17192872,72.19412398,AM
TiVCrCuFeMnCoNi,8,Ti V Cr Cu Fe Mn Co Ni,1 1 1 1 1 1 1 1,1.299125,0.055022828,1.7375,0.148639665,7.5,2.291287847,1.53E+11,24.87468593,463.484166,IM+SS
SrCaYbLi0.55Mg0.45Zn,6,Sr Ca Yb Li Mg Zn,1 1 1 0.55 0.45 1,1.75578,0.157091252,1.1657,0.26122119,4.09,3.992730895,31238787879,21.86301193,132.6849656,AM
CoCrFeNiAlNb0.5,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.5,1.297,0.063318485,1.761818182,0.125829479,7,2.449489743,1.55E+11,37.78670018,190.4765991,IM+SS
Cu11In9,2,Cu In,11 9,1.4049,0.099859939,1.846,0.059699246,7.4,3.979949748,91998500000,53.06765496,65.34962379,IM
Ag3Ga,2,Ag Ga,3 1,1.43175,0.016029106,1.9,0.051961524,9,3.464101615,89000000000,19.05255888,150.244704,IM
Cu50Zr47Al3,3,Cu Zr Al,50 47 3,1.43537,0.111447554,1.6234,0.280568067,7.47,3.533992077,1.06E+11,34.43926421,56.98954637,AM
AuNi2Sn4,3,Au Ni Sn,1 2 4,1.487714286,0.110431443,2.028571429,0.209927101,6.714285714,3.149343955,1.16E+11,68.10076568,196.4768618,IM
Cu0.5NiCoCrAl0.5Fe3.5,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 3.5,1.259266667,0.037372801,1.814666667,0.091423313,8,1.861898673,1.63E+11,25.31789003,1036.495539,SS
FeNi2CrCuAl0.2,5,Fe Ni Cr Cu Al,1 2 1 1 0.2,1.258923077,0.029369486,1.833076923,0.103988506,8.769230769,2.099591394,1.63E+11,22.69230769,21097.95913,SS
Ni60Al10Ni10Cu20,4,Nd Al Ni Cu,60 10 10 20,1.5074,0.111946698,1.416,0.347453594,5.3,3.522782991,72800000000,55.24635735,51.99580473,AM
CuMgSb,3,Cu Mg Sb,1 1 1,1.403,0.100931888,1.753333333,0.319409177,6,3.741657387,75666666667,45.50702022,218.6616104,IM
Co2Mo0.8Ni2VW0.8,5,Co Mo Ni V W,2 0.8 2 1 0.8,1.286969697,0.038893071,1.943333333,0.207753739,7.96969697,1.961521495,1.99E+11,45.37771284,401.1142651,IM+SS
CoCrCuFeNiTi0.8 ,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 0.8,1.281827586,0.057000242,1.795172414,0.133225779,8.137931034,2.300286908,1.58E+11,23.79060457,474.7593965,IM+SS
Sr36Al24Co20Y20,4,Sr Al Co Y,36 24 20 20,1.729,0.210408066,1.3484,0.365214238,3.84,2.618090908,66721818182,61.65684605,137.9832369,AM
Al2FeTi,3,Al Fe Ti,2 1 1,1.39175,0.063152898,1.6475,0.109173028,4.5,2.061552813,1.08E+11,38.39270764,59.01140029,IM
Al11Ce3,2,Al Ce,11 3,1.516214286,0.106355732,1.505,0.201059693,3,0,64428571429,22.15759878,19.55016307,IM
AlCoCu,3,Al Co Cu,7 1 2,1.3831,0.054240906,1.695,0.129942295,5.2,3.4,99200000000,36.91287038,163.5981576,IM
Al4Mn,2,Al Mn,4 1,1.4156,0.023170387,1.598,0.024,3.8,1.6,84800000000,17.6,43.23279416,IM
CoCrCuFeNiTi,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 1,1.287833333,0.061173418,1.786666667,0.138764389,8,2.380476143,1.57E+11,24.94438258,381.4244512,IM+SS
Au2Bi,2,Au Bi,2 1,1.438,0.003933835,2.366666667,0.245130351,9,2.828427125,1.57E+11,89.09545443,384.2190472,IM
CoCrCuFeMn,5,Co Cr Cu Fe Mn,1 1 1 1 1,1.2738,0.031470329,1.764,0.136323146,8.2,1.720465053,1.54E+11,21.54065923,668.2084441,SS
TiZrNbMoV2,5,Ti Zr Nb Mo V,1 1 1 1 2,1.414833333,0.070711992,1.648333333,0.250959271,4.833333333,0.687184271,1.50E+11,49.77825056,1373.522704,SS
CrFe,2,Cr Fe,1 1,1.245,0.003212851,1.745,0.085,7,1,1.65E+11,5,1383.1752,IM
CuNiTi,3,Cu Ni Ti,1 1 1,1.328666667,0.071637003,1.783333333,0.172111075,8.333333333,3.091206165,1.43E+11,28.67441756,103.5463368,IM
Al3Mg2,2,Al Mg,3 2,1.4996,0.055209892,1.49,0.146969385,2.6,0.489897949,63600000000,15.18683641,325.7383479,IM
Zr57Nb5Cu15.4Ni12.6Al10,5,Zr Nb Cu Ni Al,57 5 15.4 12.6 10,1.482168,0.100440875,1.53236,0.2509112,5.784,3.008212758,1.01E+11,42.89271043,69.54270292,AM
Al2CuMg,3,Al Cu Mg,2 1 1,1.43575,0.079581612,1.6075,0.208611481,4.75,3.631459762,84250000000,34.58594368,479.1622488,IM
Zr65Al7.5Cu17.5Ni10,4,Zr Al Cu Ni,65 7.5 17.5 10,1.4976,0.099743591,1.50875,0.25382265,5.75,3.031088913,94241666667,38.50964796,58.39778843,AM
Al0.3NbTaTi1.4Zr1.3,5,Al Nb Ta Ti Zr,0.3 1 1 1.4 1.3,1.48386,0.048446225,1.4936,0.103184495,4.34,0.58685603,1.28E+11,49.92191247,813.3607456,SS
Al85.5Fe9Ce5.5,3,Al Fe Ce,85.5 9 5.5,1.436425,0.075490316,1.60285,0.132326783,3.45,1.430908802,81490000000,30.42170114,49.68273664,AM
Ti50Ni15Cu32Sn3,4,Ti Ni Cu Sn,50 15 32 3,1.37546,0.07656994,1.7233,0.183575897,7.14,3.349686553,1.29E+11,27.57514098,111.6797323,AM
Co43Fe20Ta5.5B31.5,4,Co Fe Ta B,43 20 5.5 31.5,1.12308,0.186632352,1.8995,0.126987204,6.69,2.661559693,2.23E+11,65.95271033,92.89418187,AM
FeCoNiCrTi,5,Fe Co Ni Cr Ti,1 1 1 1 1,1.2898,0.066805618,1.764,0.141506184,7.4,2.154065923,1.60E+11,26.07680962,185.953194,IM+SS
Al0.8CrCu1.5FeMnNi,6,Al Cr Cu Fe Mn Ni,0.8 1 1.5 1 1 1,1.293428571,0.049563605,1.76,0.143039566,7.920634921,2.596099561,1.43E+11,32.17190535,1617.010007,SS
Mg70Ni15Nd15,3,Mg Ni Nd,70 15 15,1.5536,0.083639826,1.3745,0.232754699,3.35,2.815581645,63300000000,49.23626712,130.4634807,AM
AgZn3,2,Ag Zn,1 3,1.4075,0.015382334,1.72,0.121243557,11.75,0.433012702,77500000000,12.99038106,155.2499554,IM
AlCoCr2Cu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1 2 0.5 1 1,1.278,0.051830718,1.769230769,0.119965478,7.307692308,2.461538462,1.53E+11,34.7699115,412.8464093,SS
AgMg3,2,Ag Mg,1 3,1.562,0.043245827,1.465,0.268467875,4.25,3.897114317,58750000000,23.8156986,75.05168524,IM
Cd3Mg,2,Cd Mg,3 1,1.57625,0.009065452,1.595,0.164544827,9.5,4.330127019,42750000000,1.299038106,84.52709491,IM
NiCoFeCrMo0.3,5,Ni Co Fe Cr Mo,1 1 1 1 0.3,1.254860465,0.02377732,1.84372093,0.127279646,8.093023256,1.537348268,1.77E+11,16.68918616,721.6926694,SS
Al2Cu,2,Al Cu,2 1,1.380666667,0.05258061,1.706666667,0.136707311,5.666666667,3.771236166,97333333333,30.16988933,769.7151007,IM
Cu16Mg6Si7,3,Cu Mg Si,16 6 7,1.314655172,0.11787283,1.777931034,0.238997609,7.448275862,3.996431226,1.11E+11,37.34102251,80.52120035,IM
Al4In3Sn3,3,Al In Sn,4 3 3,1.5268,0.052932165,1.766,0.145203306,3.3,0.458257569,57799000000,17.66754847,134.8414949,IM
Al1.2CrCuFeNi2,5,Al Cr Cu Fe Ni,1.2 1 1 1 2,1.28683871,0.056031122,1.797096774,0.125703018,7.838709677,2.863527874,1.49E+11,38.01253969,369.4117282,IM+SS
Cu0.5NiCoFeAl0.5Cr,6,Cu Ni Co Fe Al Cr,0.5 1 1 1 0.5 1,1.2684,0.043697561,1.807,0.111180034,8,2.28035085,1.60E+11,30.42104535,656.1043982,SS
AlNb1.5Ta0.5Ti1.5Zr0.5,5,Al Nb Ta Ti Zr,1 1.5 0.5 1.5 0.5,1.457,0.034809102,1.547,0.081123363,4.2,0.748331477,1.26E+11,44.82695432,212.5607003,SS
Co3Sn2,2,Co Sn,3 2,1.3986,0.129252355,1.912,0.039191836,7,2.449489743,1.31E+11,59.76754972,0,IM
Zr38.5Ti16.5Ni9.75Cu15.15Be20,5,Zr Ti Ni Cu Be,38.5 16.5 9.75 15.15 20,1.400487487,0.135289628,1.555780781,0.223476638,5.246746747,3.192313862,1.10E+11,35.85947473,82.51906646,AM
Ag3Sb,2,Ag Sb,3 1,1.41625,0.035160784,1.96,0.051961524,9.5,2.598076211,85500000000,25.11473671,215.9634066,IM
Cr55Co24Nb7B14,4,Cr Co Nb B,55 24 7 14,1.20202,0.133699616,1.7618,0.147379646,6.23,1.853941747,1.88E+11,53.93134525,122.9311266,AM
TiZrNbMoV3,5,Ti Zr Nb Mo V,1 1 1 1 3,1.400714286,0.070585668,1.645714286,0.232431688,4.857142857,0.638876565,1.52E+11,46.21470891,1354.310386,SS
AlNbTaTiV,5,Al Nb Ta Ti V,1 1 1 1 1,1.4138,0.035665443,1.576,0.048414874,4.4,0.8,1.43E+11,44.37296474,265.7840617,SS
Pt3Al,2,Pt Al,3 1,1.39825,0.013935685,2.1125,0.29011851,8.25,3.031088913,1.92E+11,66.68395609,30.06648396,IM
Ni45Ti20Zr25Al10,4,Ni Ti Zr Al,45 20 25 10,1.39705,0.105775239,1.661,0.241824316,6.6,3.088689042,1.28E+11,48.6714688,49.6223114,AM
Zr50Ni50,2,Zr Ni,50 50,1.4245,0.125307125,1.62,0.29,7,3,1.25E+11,54.58333333,27.27321969,AM
AlCrCuFeMnNi,6,Al Cr Cu Fe Mn Ni,1 1 1 1 1 1,1.299333333,0.053876835,1.743333333,0.142556032,7.5,2.62995564,1.41E+11,35.09510887,556.7643263,SS
CuNi2FeMn2Cr,5,Cu Ni Fe Mn Cr,1 2 1 2 1,1.28,0.035676948,1.758571429,0.154774358,8.428571429,1.761261144,1.53E+11,24.32769481,5353.318081,SS
AgPt3,2,Ag Pt,1 3,1.4015,0.017919898,2.1925,0.151554446,10.25,0.433012702,1.98E+11,56.29165125,1379.432479,IM
AlTiVYZr,5,Al Ti V Y Zr,1 1 1 1 1,1.523,0.109513125,1.466,0.162554606,3.8,0.748331477,91566666667,40.62533419,194.3541215,AM+IM
Al2Zr3,2,Al Zr,2 3,1.5346,0.054589176,1.442,0.137171426,3.6,0.489897949,72900000000,2.531139401,26.29251365,IM
Au52Pd2.3Cu29.2Si16.5,4,Au Pd Cu Si,52 2.3 29.2 16.5,1.344886,0.082487017,2.2397,0.315699081,9.822,2.592357228,1.76E+11,48.35859386,74.15990626,AM
PtAl2,2,Pt Al,1 2,1.417,0.014970503,1.833333333,0.315841029,5.333333333,3.299831646,1.27E+11,72.5962962,21.20210611,IM
Al6Mn,2,Al Mn,6 1,1.420285714,0.020202993,1.601428571,0.020995626,3.571428571,1.399708424,82285714286,15.39679267,44.82386085,IM
CoCrFeNiPd,5,Co Cr Fe Ni Pd,1 1 1 1 1,1.2724,0.040404358,1.896,0.174882818,8.6,1.496662955,1.74E+11,8,535.4283794,SS
Al9Mn11,2,Al Mn,9 11,1.3869,0.02941415,1.577,0.029849623,5.2,1.989974874,1.00E+11,21.88972362,45.93121715,IM
AlTi,2,Al Ti,1 1,1.447,0.010366275,1.575,0.035,3.5,0.5,93000000000,17,33.20717962,IM
Al2Sm,2,Al Sm,2 1,1.558,0.114371572,1.463333333,0.207417989,3,0,63333333333,17.91337179,20.17638942,IM
Fe89Zr7B4,3,Fe Zr B,89 7 4,1.2495,0.101834156,1.8034,0.136222025,7.52,1.374627222,1.69E+11,39.8433835,72.37395706,SS
Cu0.5NiAlCoCrFe,6,Cu Ni Al Co Cr Fe,0.5 1 1 1 1 1,1.283272727,0.055127965,1.789090909,0.120185807,7.545454545,2.606412943,1.52E+11,37.66840972,368.6257939,AM
CrNbTiVZr,5,Cr Nb Ti V Zr,1 1 1 1 1,1.4118,0.08678228,1.552,0.117881296,4.8,0.748331477,1.34E+11,37.98391472,775.7213247,IM+SS
Al0.5CoCrCuFeNiV0.8,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 0.8,1.275206349,0.040648045,1.791904762,0.119361491,7.857142857,2.442072649,1.58E+11,27.61740553,717.4941264,IM+SS
Al3Ti,2,Al Ti,3 1,1.4395,0.009024231,1.5925,0.030310889,3.25,0.433012702,84500000000,14.72243186,29.62512755,IM
Al0.4Hf0.6NbTaTiZr,6,Al Hf Nb Ta Ti Zr,0.4 0.6 1 1 1 1,1.48872,0.049230841,1.4788,0.115838508,4.32,0.61449166,1.29E+11,48.59128225,660.5171088,SS
CoCrFeNi,4,Co Cr Fe Ni,1 1 1 1,1.24675,0.003021159,1.82,0.096695398,8.25,1.479019946,1.73E+11,8.291561976,691.9457254,SS
Ni57Zr20Ti16Pd7,4,Ni Zr Ti Pd,57 20 16 7,1.36099,0.106215111,1.7551,0.266602682,7.84,2.88,1.47E+11,45.56611802,48.09918175,AM
Cu9In4,2,Cu In,9 4,1.364769231,0.095366926,1.863076923,0.055384615,8.538461538,3.692307692,1.07E+11,49.23230769,77.67219984,IM
NiCoCrMnV,5,Ni Co Cr Mn V,1 1 1 1 1,1.2824,0.033312919,1.726,0.142912561,7.4,1.854723699,1.60E+11,21.9089023,330.9936127,IM+SS
Mg65Cu7.5Ni7.5Zn5Ag5Y10,6,Mg Cu Ni Zn Ag Y,65 7.5 7.5 5 5 10,1.55215,0.096142622,1.43825,0.249938868,4.325,3.823529129,65850000000,42.34533622,180.5989481,AM
SbY,2,Sb Y,1 1,1.566,0.150702427,1.635,0.415,4,1,41500000000,0.5,13.77517895,IM
FeCoNiCrCuAl1.5,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 1.5,1.294307692,0.058925035,1.783846154,0.124933118,7.461538462,2.8720238,1.45E+11,40.12701727,397.3715183,SS
Al9Co2,2,Al Co,9 2,1.399090909,0.049897204,1.659090909,0.104137544,4.090909091,2.314167648,94909090909,40.11223922,45.51097248,IM
Al2Fe,2,Al Fe,2 1,1.368333333,0.065801411,1.683333333,0.103708995,4.666666667,2.357022604,1.07E+11,44.31202495,79.80889497,IM
CuNiCoFe,4,Cu Ni Co Fe,1 1 1 1,1.254,0.011403788,1.88,0.03082207,9.5,1.118033989,1.68E+11,16.39359631,461.9666534,SS
AuSb2,2,Au Sb,1 2,1.367333333,0.03861334,2.213333333,0.230988215,7,2.828427125,1.01E+11,83.9100047,187.6656602,IM
CdMg3,2,Cd Mg,1 3,1.59275,0.008971539,1.405,0.164544827,4.5,4.330127019,44250000000,1.299038106,105.0698226,IM
B4Co,2,B Co ,4 1,0.9062,0.190244979,2.008,0.064,4.2,2.4,2.92E+11,56,72.71472724,IM
Mg2Ni,2,Mg Ni,2 1,1.482666667,0.112870012,1.51,0.282842712,4.666666667,3.771236166,90000000000,63.63961031,213.2720283,IM
Zr44Ti11Cu10Ni10Be25,5,Zr Ti Cu Ni Be,44 11 10 10 25,1.40054,0.144418198,1.5281,0.214796159,4.8,2.976575213,1.08E+11,36.74213446,70.3660387,AM
